year,paragraph_id,actors
1998,54,"ARGENTINA, CHINA, G77, GERMANY, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
1998,55,"ARGENTINA, AUSTRALIA, CANADA, CHINA, G77, INDONESIA, JAPAN, NEW ZELAND, NORWAY, RUSSIA, SOUTH KOREA, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
1998,57,"ARGENTINA, BRAZIL, CHINA, EUROPEAN UNION, G77, UNITED STATES OF AMERICA (USA)"
1998,58,ARGENTINA
1998,59,"GERMANY, JORDAN, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA)"
2001,1,"AUSTRALIA, CANADA, FINLAND, GERMANY, JAPAN, NETHERLANDS, NEW ZELAND, NORWAY, SWEDEN, SWITZERLAND, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA)"
2001,5,"ARGENTINA, MOROCCO"
2001,6,"AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, G77, JAPAN, NEW ZELAND, RUSSIA, SOUTH AFRICA, SWITZERLAND"
2001,8,ARGENTINA
2001,13,"ARGENTINA, GERMANY, JAPAN, ROMANIA"
2001,14,"GERMANY, NETHERLANDS, UNITED STATES OF AMERICA (USA)"
2001,16,"ARGENTINA, AUSTRALIA, BELGIUM, BURKINA, CHINA, EUROPEAN UNION, G77, IRAN, JAPAN, MOROCCO, SWITZERLAND"
2001,17,"ARGENTINA, GERMANY, ICELAND, INDIA, NIGERIA, PANAMA, PAPUA NEW GUINEA, QATAR, RUSSIA, SLOVENIA"
2001,21,"AUSTRALIA, BRAZIL, CHINA, EUROPEAN UNION, G77, JAPAN, NEW ZELAND, NORWAY, SOUTH AFRICA"
2001,23,"AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, G77, JAPAN, UNITED STATES OF AMERICA (USA)"
2001,24,"ARGENTINA, CHINA, CROATIA, EUROPEAN UNION, G77, MALAYSIA, RUSSIA"
2001,26,"AOSIS, AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, G77, JAPAN, NEW ZELAND, SWITZERLAND"
2001,27,"CHINA, G77, NORWAY, SOUTH AFRICA, SWITZERLAND"
2001,29,"AUSTRALIA, BRAZIL, CANADA, CHINA, EUROPEAN UNION, G77, JAPAN, RUSSIA"
2001,30,"AUSTRALIA, CANADA, EUROPEAN UNION, JAPAN"
2001,32,"CANADA, CENTRAL AFRICAN REPUBLIC, POLAND, SAUDI ARABIA, SWITZERLAND"
2001,33,"SOUTH AFRICA, SWEDEN, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
2001,35,"AOSIS, AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, G77, ICELAND, JAPAN, KUWAIT, MALAYSIA, NORWAY, SAUDI ARABIA, SWITZERLAND"
2001,36,"CHINA, G77, UNITED STATES OF AMERICA (USA)"
2001,37,TURKEY
2001,39,KAZAKHSTAN
2001,41,"ARGENTINA, AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, G77, KENYA, MALAYSIA, SWITZERLAND, UGANDA, UNITED STATES OF AMERICA (USA)"
2001,44,UNITED STATES OF AMERICA (USA)
2001,45,UNITED STATES OF AMERICA (USA)
2001,46,"BAHAMAS, CANADA, CHINA, EL SALVADOR, EUROPEAN UNION, G77, ITALIA, MALAYSIA, NORWAY, SWITZERLAND, THAILAND"
2001,48,"AOSIS, AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, JAPAN, MALAYSIA, NEW ZELAND, NORWAY, RUSSIA, SAUDI ARABIA, UNITED STATES OF AMERICA (USA), ZIMBABWE"
2001,49,"AUSTRALIA, CENTRAL AFRICAN REPUBLIC, CHINA, COLOMBIA, MALAYSIA, NETHERLANDS, SENEGAL, UNITED STATES OF AMERICA (USA)"
2001,51,"BULGARIA, CANADA, CHINA, CROATIA, EUROPEAN UNION, KENYA, NIGERIA, SOUTH AFRICA"
2001,52,"EUROPEAN UNION, JAPAN, NORWAY, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
2001,54,"BAHAMAS, GERMANY"
2001,55,MOROCCO
2001,56,"AOSIS, BANGLADESH, BENIN, BRAZIL, CANADA, CHINA, DJIBOUTI, G77, IRAN, KUWAIT, NEW ZELAND, SOUTH KOREA, SWITZERLAND, TANZANIA, TURKEY, UKRAINE, UNITED STATES OF AMERICA (USA)"
2001,58,"INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA), MOROCCO, UNITED STATES OF AMERICA (USA)"
2001,59,"ARGENTINA, CANADA, EUROPEAN UNION, JAPAN, KUWAIT, NIGERIA, SAUDI ARABIA, UNITED ARAB EMIRATES (UAE)"
2001,60,"ARGENTINA, AUSTRALIA, CHINA, EUROPEAN UNION, G77, JAPAN, MOROCCO, RUSSIA, SOUTH KOREA"
2001,61,JAPAN
2001,65,"CHINA, EUROPEAN UNION, G77"
2001,66,"ARGENTINA, AUSTRALIA, CANADA, JAPAN, RUSSIA"
2001,67,RUSSIA
2001,68,"AUSTRALIA, CANADA, CHINA, G77, JAPAN, RUSSIA"
2001,69,"AFRICAN GROUP, CHINA, EUROPEAN UNION, G77, JAPAN"
2001,71,"CHINA, G77"
2001,72,"MOROCCO, UNITED STATES OF AMERICA (USA)"
2001,73,AUSTRALIA
2001,74,"BANGLADESH, CANADA, GERMANY, INDONESIA, NETHERLANDS, SOUTH AFRICA, UNITED STATES OF AMERICA (USA)"
2000,1,"AUSTRALIA, AUSTRIA, CANADA, FINLAND, GERMANY, NETHERLANDS, NORWAY, SWEDEN, SWITZERLAND, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA)"
2000,5,"ARGENTINA, NETHERLANDS"
2000,13,"ARGENTINA, GERMANY, JAPAN"
2000,14,"ARGENTINA, FRANCE, GERMANY, NETHERLANDS"
2000,15,NETHERLANDS
2000,17,"CHINA, EUROPEAN UNION, FRANCE, G77, MEXICO, NETHERLANDS, NIGERIA, POLAND, SOUTH KOREA, SWITZERLAND"
2000,18,UNITED STATES OF AMERICA (USA)
2000,19,"CHINA, G77, MALAYSIA, MOROCCO, NIGERIA, NORWAY, SLOVENIA, UGANDA, UKRAINE, YUGOSLAVIA"
2000,21,"FRANCE, NORWAY"
2000,22,"CHINA, G77, MAURITANIA"
2000,23,"AUSTRALIA, CHINA, G77"
2000,25,"AOSIS, ARGENTINA, AUSTRALIA, CHINA, EUROPEAN UNION, G77, SAUDI ARABIA, UNITED STATES OF AMERICA (USA)"
2000,26,"AUSTRALIA, CANADA, DENMARK, EUROPEAN UNION, JAPAN, NEW ZELAND, NORWAY, RUSSIA, SOUTH AFRICA, UKRAINE, UNITED STATES OF AMERICA (USA)"
2000,28,"EUROPEAN UNION, FINLAND, UNITED STATES OF AMERICA (USA)"
2000,29,UNITED STATES OF AMERICA (USA)
2000,31,"AUSTRALIA, BRAZIL, CANADA, CHINA, G77, JAPAN, NEW ZELAND, NIGERIA, POLAND, THAILAND, UNITED STATES OF AMERICA (USA)"
2000,34,"CHINA, G77, IRAN, SWEDEN"
2000,35,ARGENTINA
2000,37,MALAYSIA
2000,38,"KAZAKHSTAN, PAKISTAN, TURKEY, UNITED STATES OF AMERICA (USA)"
2000,39,"BRAZIL, NEW ZELAND"
2000,40,"AUSTRALIA, BRAZIL, CHINA, EUROPEAN UNION, G77, INDIA, JAPAN, NEW ZELAND, UNITED STATES OF AMERICA (USA)"
