Source,Target,Weight,Start,End
COSTA RICA,SWITZERLAND,4,1996,1996
COSTA RICA,TURKEY,1,1996,1996
BANGLADESH,RUSSIA,2,1996,1996
RUSSIA,SWITZERLAND,3,1996,1996
RUSSIA,TURKEY,1,1996,1996
BANGLADESH,SWITZERLAND,2,1996,1996
BANGLADESH,TURKEY,1,1996,1996
SWITZERLAND,TURKEY,1,1996,1996
HUGARY,KUWAIT,2,1996,1996
HUNGARY,KUWAIT,2,1996,1996
BULGARIA,EU,1,1996,1996
AUSTRALIA,EU,6,1996,1996
EU,NEW ZEALAND,4,1996,1996
EU,KUWAIT,5,1996,1996
EU,MOROCCO,1,1996,1996
COSTA RICA,EU,1,1996,1996
EU,RUSSIA,5,1996,1996
BANGLADESH,EU,2,1996,1996
EU,SWITZERLAND,3,1996,1996
EU,NEW ZELAND,4,1996,1996
EU,G77,4,1996,1996
EU,JAPAN,4,1996,1996
CANADA,EU,5,1996,1996
EU,SAUDI ARABIA,6,1996,1996
ARGENTINA,EU,3,1996,1996
EU,OMAN,2,1996,1996
BENIN,EU,1,1996,1996
EU,UNITED ARAB EMIRATES (UAE),2,1996,1996
BRAZIL,EU,2,1996,1996
EU,IRAN,4,1996,1996
EU,SOUTH KOREA,2,1996,1996
EU,NORWAY,3,1996,1996
EU,PAKISTAN,1,1996,1996
EU,NIGERIA,3,1996,1996
EU,MYANMAR,2,1996,1996
EU,HUGARY,1,1996,1996
CHINA,EU,5,1996,1996
EU,POLAND,1,1996,1996
EU,INDIA,3,1996,1996
EU,INDONESIA,1,1996,1996
COLOMBIA,EU,3,1996,1996
EU,GEORGIA,1,1996,1996
EU,PHILIPPINES,3,1996,1996
EU,HUNGARY,1,1996,1996
EU,MALDIVES,1,1996,1996
EU,USA,8,1996,1996
EU,FIJI,1,1996,1996
EU,FEDERATED STATES OF MICRONESIA,1,1996,1996
AUSTRALIA,BULGARIA,2,1996,1996
BULGARIA,NEW ZEALAND,1,1996,1996
BULGARIA,KUWAIT,1,1996,1996
BULGARIA,MOROCCO,2,1996,1996
BULGARIA,COSTA RICA,2,1996,1996
BULGARIA,RUSSIA,1,1996,1996
BANGLADESH,BULGARIA,2,1996,1996
BULGARIA,SWITZERLAND,1,1996,1996
BULGARIA,NEW ZELAND,1,1996,1996
BULGARIA,G77,2,1996,1996
BULGARIA,JAPAN,1,1996,1996
BULGARIA,CANADA,1,1996,1996
BULGARIA,SAUDI ARABIA,1,1996,1996
ARGENTINA,BULGARIA,1,1996,1996
BULGARIA,OMAN,2,1996,1996
BENIN,BULGARIA,2,1996,1996
BULGARIA,UNITED ARAB EMIRATES (UAE),1,1996,1996
BRAZIL,BULGARIA,1,1996,1996
BULGARIA,IRAN,1,1996,1996
BULGARIA,SOUTH KOREA,1,1996,1996
BULGARIA,NORWAY,1,1996,1996
BULGARIA,PAKISTAN,2,1996,1996
BULGARIA,NIGERIA,1,1996,1996
BULGARIA,MYANMAR,1,1996,1996
BULGARIA,HUGARY,2,1996,1996
BULGARIA,CHINA,2,1996,1996
BULGARIA,POLAND,2,1996,1996
BULGARIA,INDIA,1,1996,1996
BULGARIA,INDONESIA,2,1996,1996
BULGARIA,COLOMBIA,1,1996,1996
BULGARIA,GEORGIA,2,1996,1996
BULGARIA,PHILIPPINES,1,1996,1996
BULGARIA,HUNGARY,2,1996,1996
BULGARIA,MALDIVES,2,1996,1996
BULGARIA,USA,2,1996,1996
BULGARIA,FIJI,1,1996,1996
BULGARIA,FEDERATED STATES OF MICRONESIA,2,1996,1996
AUSTRALIA,NEW ZEALAND,4,1996,1996
AUSTRALIA,KUWAIT,4,1996,1996
AUSTRALIA,MOROCCO,2,1996,1996
AUSTRALIA,COSTA RICA,2,1996,1996
AUSTRALIA,RUSSIA,4,1996,1996
AUSTRALIA,BANGLADESH,3,1996,1996
AUSTRALIA,NEW ZELAND,4,1996,1996
AUSTRALIA,G77,4,1996,1996
AUSTRALIA,JAPAN,3,1996,1996
AUSTRALIA,SAUDI ARABIA,4,1996,1996
ARGENTINA,AUSTRALIA,2,1996,1996
AUSTRALIA,OMAN,3,1996,1996
AUSTRALIA,BENIN,2,1996,1996
AUSTRALIA,UNITED ARAB EMIRATES (UAE),2,1996,1996
AUSTRALIA,BRAZIL,2,1996,1996
AUSTRALIA,IRAN,4,1996,1996
AUSTRALIA,SOUTH KOREA,1,1996,1996
AUSTRALIA,NORWAY,4,1996,1996
AUSTRALIA,PAKISTAN,2,1996,1996
AUSTRALIA,NIGERIA,3,1996,1996
AUSTRALIA,MYANMAR,2,1996,1996
AUSTRALIA,HUGARY,3,1996,1996
AUSTRALIA,CHINA,5,1996,1996
AUSTRALIA,POLAND,2,1996,1996
AUSTRALIA,INDIA,3,1996,1996
AUSTRALIA,INDONESIA,2,1996,1996
AUSTRALIA,COLOMBIA,3,1996,1996
AUSTRALIA,GEORGIA,2,1996,1996
AUSTRALIA,PHILIPPINES,3,1996,1996
AUSTRALIA,HUNGARY,3,1996,1996
AUSTRALIA,MALDIVES,2,1996,1996
AUSTRALIA,USA,8,1996,1996
AUSTRALIA,FIJI,1,1996,1996
AUSTRALIA,FEDERATED STATES OF MICRONESIA,2,1996,1996
KUWAIT,NEW ZEALAND,3,1996,1996
MOROCCO,NEW ZEALAND,1,1996,1996
COSTA RICA,NEW ZEALAND,1,1996,1996
NEW ZEALAND,RUSSIA,4,1996,1996
BANGLADESH,NEW ZEALAND,1,1996,1996
NEW ZEALAND,SWITZERLAND,2,1996,1996
NEW ZEALAND,NEW ZELAND,4,1996,1996
G77,NEW ZEALAND,2,1996,1996
JAPAN,NEW ZEALAND,2,1996,1996
CANADA,NEW ZEALAND,3,1996,1996
NEW ZEALAND,SAUDI ARABIA,3,1996,1996
ARGENTINA,NEW ZEALAND,1,1996,1996
NEW ZEALAND,OMAN,2,1996,1996
BENIN,NEW ZEALAND,1,1996,1996
NEW ZEALAND,UNITED ARAB EMIRATES (UAE),2,1996,1996
BRAZIL,NEW ZEALAND,2,1996,1996
IRAN,NEW ZEALAND,3,1996,1996
NEW ZEALAND,SOUTH KOREA,1,1996,1996
NEW ZEALAND,NORWAY,2,1996,1996
NEW ZEALAND,PAKISTAN,1,1996,1996
NEW ZEALAND,NIGERIA,3,1996,1996
MYANMAR,NEW ZEALAND,2,1996,1996
HUGARY,NEW ZEALAND,1,1996,1996
CHINA,NEW ZEALAND,3,1996,1996
NEW ZEALAND,POLAND,1,1996,1996
INDIA,NEW ZEALAND,2,1996,1996
INDONESIA,NEW ZEALAND,1,1996,1996
COLOMBIA,NEW ZEALAND,2,1996,1996
GEORGIA,NEW ZEALAND,1,1996,1996
NEW ZEALAND,PHILIPPINES,2,1996,1996
HUNGARY,NEW ZEALAND,1,1996,1996
MALDIVES,NEW ZEALAND,1,1996,1996
NEW ZEALAND,USA,4,1996,1996
FIJI,NEW ZEALAND,1,1996,1996
FEDERATED STATES OF MICRONESIA,NEW ZEALAND,1,1996,1996
KUWAIT,MOROCCO,1,1996,1996
KUWAIT,NEW ZELAND,3,1996,1996
G77,KUWAIT,2,1996,1996
JAPAN,KUWAIT,1,1996,1996
ARGENTINA,KUWAIT,3,1996,1996
KUWAIT,OMAN,2,1996,1996
BENIN,KUWAIT,1,1996,1996
KUWAIT,UNITED ARAB EMIRATES (UAE),2,1996,1996
BRAZIL,KUWAIT,2,1996,1996
KUWAIT,NORWAY,2,1996,1996
KUWAIT,PAKISTAN,1,1996,1996
KUWAIT,NIGERIA,3,1996,1996
KUWAIT,MYANMAR,1,1996,1996
CHINA,KUWAIT,3,1996,1996
KUWAIT,POLAND,1,1996,1996
INDIA,KUWAIT,2,1996,1996
INDONESIA,KUWAIT,1,1996,1996
COLOMBIA,KUWAIT,2,1996,1996
GEORGIA,KUWAIT,1,1996,1996
KUWAIT,MALDIVES,1,1996,1996
FIJI,KUWAIT,1,1996,1996
FEDERATED STATES OF MICRONESIA,KUWAIT,1,1996,1996
